PID,MinMaxYearSpecter,TwoDecadeSpecter,MinPubYear,MaxPubYear,NPubYears,MinMaxYearSpecterNorm,IsMentee,IsMentor,StopYear,MentorStopYear
150775,0.24260841992428664,,2009,2016,8,0.03032605249053583,True,False,2014.0,
152583,0.06074784851738574,,2001,2003,3,0.02024928283912858,True,False,2003.0,
182576,0.18134211146121115,,1999,2004,6,0.030223685243535192,True,False,2001.0,
225490,0.23472770080936364,,2004,2005,2,0.11736385040468182,True,False,2004.0,
141966,0.2374934988757413,,2006,2008,3,0.0791644996252471,True,False,2005.0,
178296,0.301240690785448,0.30228268263320474,2000,2020,21,0.014344794799307049,True,False,2003.0,
678858,0.2295172754216029,,1996,2003,8,0.028689659427700364,True,False,2000.0,
142956,0.05948118997190991,,2000,2010,11,0.005407380906537264,True,False,2001.0,
366179,0.2936131423421394,,2002,2020,19,0.015453323281165233,True,False,2004.0,
153776,0.1603720850451988,,2009,2015,7,0.022910297863599827,True,False,2011.0,
154950,0.17479995312125846,,2009,2014,6,0.02913332552020974,True,False,2011.0,
650411,0.25084958851785805,0.25084958851785805,2000,2019,20,0.012542479425892903,True,False,2008.0,
94480,0.06912854601047252,,2014,2017,4,0.01728213650261813,True,False,2014.0,
164770,0.18699040955215088,,2009,2018,10,0.018699040955215088,True,False,2010.0,
423004,0.07423010367616982,,1999,2006,8,0.009278762959521228,True,False,2006.0,
157734,0.12197918977346058,,2011,2015,5,0.024395837954692114,True,False,2012.0,
643259,0.3437037878646059,,2009,2020,12,0.028641982322050494,True,False,2012.0,
372374,0.13285277159372513,,1999,2002,4,0.03321319289843128,True,False,2001.0,
462823,0.30129916816925884,,2009,2018,10,0.030129916816925884,True,False,2011.0,
483434,0.13660868230210185,,2008,2014,7,0.019515526043157407,True,False,2012.0,
209739,0.2897180429256291,,2003,2017,15,0.019314536195041938,True,False,2007.0,
403007,0.3011849417086571,,2008,2020,13,0.023168072439127472,True,False,2008.0,
544343,0.3295391798129282,0.32497335937734084,2000,2020,21,0.015692341895853723,True,False,2003.0,
161552,0.17375334910695733,,2009,2020,12,0.014479445758913112,True,False,2014.0,
190614,0.1876002951566712,,2005,2020,16,0.01172501844729195,True,False,2011.0,
225423,0.14883092073693138,,2000,2005,6,0.02480515345615523,True,False,2003.0,
150281,0.17795604987096375,,2009,2014,6,0.029659341645160625,True,False,2013.0,
261820,0.17364106500141513,,2011,2020,10,0.017364106500141512,True,False,2011.0,
132146,0.2344454393972447,,2008,2017,10,0.02344454393972447,True,False,2011.0,
136044,0.19218896229527704,,2012,2016,5,0.03843779245905541,True,False,2014.0,
579046,0.13239159161596425,,2002,2006,5,0.02647831832319285,True,False,2003.0,
745030,0.2646540386678077,,2010,2020,11,0.02405945806070979,True,False,2010.0,
420121,0.17842426944651107,,2013,2020,8,0.022303033680813884,True,False,2014.0,
176352,0.18280221531731367,,2007,2009,3,0.06093407177243789,True,False,2009.0,
137466,0.25340716067700925,,2005,2020,16,0.015837947542313078,True,False,2009.0,
176965,0.21688279211285325,,2002,2020,19,0.011414883795413328,True,False,2008.0,
488236,0.1838425641929365,,2005,2010,6,0.030640427365489414,True,False,2008.0,
367061,0.22149937568461764,,2006,2019,14,0.015821383977472687,True,False,2006.0,
146224,0.151084330286643,,1999,2004,6,0.0251807217144405,True,False,2001.0,
62618,0.1702925078824782,,2009,2014,6,0.0283820846470797,True,False,2008.0,
441610,0.2502260088647261,,2002,2020,19,0.013169789940248743,True,False,2012.0,
441294,0.2787738111104653,,2011,2017,7,0.0398248301586379,True,False,2014.0,
227588,0.18197815524420807,,2008,2020,13,0.013998319634169852,True,False,2012.0,
377076,0.356690259132278,0.356690259132278,2001,2020,20,0.0178345129566139,True,False,2005.0,
373147,0.3081513576792265,,2006,2014,9,0.03423903974213628,True,False,2008.0,
473547,0.3056879891853632,0.3063959058465802,1978,2013,36,0.008491333032926755,True,False,2008.0,
439146,0.2751343824823518,,2001,2015,15,0.018342292165490118,True,False,2004.0,
147047,0.32291157527091496,,2003,2017,15,0.02152743835139433,True,False,2004.0,
628841,0.2017894392386854,0.2017894392386854,2001,2020,20,0.01008947196193427,True,False,2005.0,
135631,0.11880029920970198,,2012,2015,4,0.029700074802425494,True,False,2013.0,
182247,0.198364177964404,,2004,2020,17,0.011668481056729647,True,False,2013.0,
669491,0.17938445285247007,,2009,2020,12,0.014948704404372506,True,False,2010.0,
135796,0.1866593199389319,,2008,2012,5,0.03733186398778638,True,False,2012.0,
541259,0.2696949233742421,,2000,2005,6,0.04494915389570702,True,False,2000.0,
717700,0.250131826431175,0.2493593525237541,1997,2017,21,0.011911039353865475,True,False,2002.0,
137057,0.11063479947567256,,2005,2009,5,0.022126959895134513,True,False,2008.0,
504417,0.1840257327684579,,2006,2020,15,0.01226838218456386,True,False,2012.0,
576891,0.06951881163728507,,2003,2004,2,0.034759405818642536,True,False,2002.0,
149808,0.12321588934719024,,2004,2008,5,0.024643177869438048,True,False,2006.0,
483986,0.2444763376651422,,2002,2016,15,0.01629842251100948,True,False,2012.0,
248546,0.18030500575157948,,2002,2005,4,0.04507625143789487,True,False,2005.0,
423871,0.008228509611912044,,2017,2019,3,0.0027428365373040144,True,False,2013.0,
194703,0.3058106322170559,,2003,2020,18,0.016989479567614218,True,False,2010.0,
133306,0.2997892689328358,,2008,2017,10,0.029978926893283582,True,False,2009.0,
208200,0.362668588590678,,2006,2020,15,0.0241779059060452,True,False,2009.0,
439213,0.0951587178007648,,2009,2012,4,0.0237896794501912,True,False,2012.0,
413505,0.2904822825481634,,2010,2019,10,0.029048228254816337,True,False,2013.0,
773500,0.2667977158035984,,1999,2011,13,0.020522901215661415,True,False,2000.0,
388160,0.20098838923854176,,2013,2020,8,0.02512354865481772,True,False,2012.0,
151250,0.17496731970966764,,2007,2009,3,0.05832243990322255,True,False,2007.0,
172349,0.14105999073721073,,2003,2020,18,0.007836666152067262,True,False,2007.0,
150410,0.27345893418852985,,2009,2013,5,0.054691786837705966,True,False,2012.0,
670608,0.23256927906449576,0.22328403441218345,2000,2020,21,0.011074727574499798,True,False,2004.0,
446275,0.14160185421795068,,2007,2013,7,0.0202288363168501,True,False,2009.0,
150412,0.16661920732826654,,2012,2020,9,0.018513245258696284,True,False,2012.0,
470326,0.14766819968990533,,2008,2018,11,0.013424381789991393,True,False,2012.0,
147331,0.29937730865318163,0.29937730865318163,2001,2020,20,0.014968865432659082,True,False,2001.0,
726272,0.1408612469289606,,2004,2010,7,0.0201230352755658,True,False,2006.0,
425300,0.29934428956786824,0.29934428956786824,2001,2020,20,0.014967214478393411,True,False,2004.0,
521580,0.09185000758351032,,2007,2007,1,0.09185000758351032,True,False,2009.0,
160676,0.15055290658976975,,2001,2005,5,0.03011058131795395,True,False,2002.0,
141875,0.3278243217871621,,2006,2020,15,0.021854954785810805,True,False,2010.0,
294087,0.1632848654849087,,2005,2020,16,0.010205304092806794,True,False,2005.0,
284789,0.20629327236419207,,2001,2015,15,0.013752884824279471,True,False,2005.0,
157498,0.16124405053290874,,2011,2020,10,0.016124405053290873,True,False,2001.0,
466706,0.14831840397965512,,2012,2015,4,0.03707960099491378,True,False,2014.0,
