,pid
163814,66103
25327,4174
275142,196047
519145,479724
524871,498006
128355,53949
259213,184262
156064,56922
454907,399582
144144,60012
487249,448776
422858,351714
335941,264058
303963,284745
426153,351763
181119,179325
171082,68488
238602,4049
226851,49087
199330,63464
487226,449554
649393,694530
253119,178686
181364,213923
351065,273941
211766,104426
426076,350627
231558,63077
568094,557223
228278,56090
235777,69085
474478,431753
239121,115291
431483,380268
321529,249423
44638,33679
295066,214341
596654,587725
18695,3439
229168,57310
234979,68115
102234,5812
237210,97362
163489,56393
202223,93347
439825,679856
109168,235125
491369,456668
622290,640994
400046,541601
253952,179457
528362,498220
487826,449567
160088,65853
456142,397800
232632,144041
478667,438347
546814,526279
324728,249999
255043,180670
163986,59204
185143,68267
77674,394916
30600,4332
211682,251184
177942,437502
545020,525530
401677,384600
259033,184205
249974,175259
209348,59191
142811,59422
228227,100187
504325,472446
442578,395983
339831,273964
239765,59976
204385,61696
143844,55681
328038,250528
432691,384777
325082,250027
204427,66851
118049,53710
550746,532742
242411,178713
275596,198199
236273,150786
412756,347681
400609,378865
142570,57560
245568,170146
65548,14095
228494,235909
21524,533
219281,203613
141869,57412
226330,129710
434012,383619
152773,64341
499464,226852
500618,380332
491436,456683
478192,438008
29610,3319
143030,166157
236809,93449
161987,64707
15982,3371
100319,186219
608883,689091
468902,409592
429251,479726
522111,494010
154000,64951
131552,56598
434553,384776
161425,56117
247403,167111
159347,178225
618481,636271
446170,480199
307656,234060
296571,286227
82696,5854
251486,176755
134978,1775
594979,595139
165054,263960
60744,1467
429202,459891
496759,182569
433016,381283
248177,170995
240233,155906
214425,234142
625444,648474
191287,63187
231659,63208
301078,226230
255810,180950
343783,272536
493605,649137
494396,459973
511762,471143
189387,68813
229377,100110
317974,236079
221849,117049
566312,552591
206672,431827
90136,62640
240472,160731
527069,502137
495272,459908
444080,399691
451910,399590
48490,8186
457473,395031
615373,628738
475021,431520
5630,3232
425582,20363
434596,381218
332140,262385
166162,68400
97650,4473
558577,542046
255023,181200
513547,477512
275267,196063
155480,65815
56091,9400
478754,436845
452231,399576
272279,195524
499217,227370
423270,351051
301065,226226
22912,2193
39285,5400
307680,234065
638221,750900
159239,67205
259338,184325
